@relation loanDefault
@attribute Loan_Amount REAL
@attribute Term { '36 months','60 months' }
@attribute Interest_Rate REAL
@attribute Employment_Length { '< 1 year','1 year','2 years','3 years','4 years','5 years','6 years','7 years','8 years','9 years','10+ years','n/a'}
@attribute Home_Ownership { 'OWN','RENT','MORTGAGE','NONE','OTHER'}
@attribute Annual_Income REAL
@attribute Debt_to_Income REAL
@attribute Credit_Score REAL
@attribute Class {'Fully Paid','Charged Off'}
@DATA
2400,'36 months',0.1699,'10+ years','OWN',35000,22.77,694,'Fully Paid'
14000,'36 months',0.1099,'6 years','RENT',42000,9.74,684,'Fully Paid'
14100,'36 months',0.1624,'9 years','RENT',40000,25.68,664,'Fully Paid'
15000,'36 months',0.089,'10+ years','OWN',55000,28.2,764,'Fully Paid'
10075,'36 months',0.1398,'6 years','RENT',31000,23.31,664,'Fully Paid'
8325,'36 months',0.1624,'6 years','RENT',25000,5.47,674,'Fully Paid'
10000,'36 months',0.1997,'10+ years','RENT',30000,11.83,714,'Fully Paid'
18000,'36 months',0.1498,'< 1 year','MORTGAGE',123500,16.23,679,'Fully Paid'
26500,'36 months',0.1398,'10+ years','OWN',59058.24,19.07,684,'Fully Paid'
9900,'36 months',0.1498,'10+ years','RENT',96800,11.26,699,'Fully Paid'
6000,'36 months',0.1498,'10+ years','MORTGAGE',126000,16.25,704,'Fully Paid'
16000,'36 months',0.0967,'10+ years','OWN',73000,12.67,694,'Fully Paid'
15000,'36 months',0.0762,'5 years','MORTGAGE',50000,3.58,809,'Fully Paid'
16800,'36 months',0.079,'< 1 year','MORTGAGE',85000,14.17,744,'Fully Paid'
10000,'36 months',0.1099,'3 years','MORTGAGE',110000,3.83,674,'Fully Paid'
19425,'36 months',0.1498,'10+ years','RENT',50000,32.43,694,'Fully Paid'
12000,'36 months',0.1199,'n/a','MORTGAGE',55000,12.68,679,'Fully Paid'
28000,'60 months',0.224,'6 years','MORTGAGE',115000,18.26,684,'Fully Paid'
10000,'36 months',0.0967,'2 years','MORTGAGE',63000,14.65,749,'Fully Paid'
12000,'36 months',0.1624,'10+ years','MORTGAGE',178000,7.75,664,'Fully Paid'
15000,'36 months',0.0762,'< 1 year','RENT',55000,17.98,694,'Fully Paid'
5500,'36 months',0.234,'5 years','RENT',72876,16.24,669,'Fully Paid'
3000,'36 months',0.1398,'n/a','MORTGAGE',25000,31.3,724,'Fully Paid'
2000,'36 months',0.205,'8 years','OWN',52000,29.06,664,'Fully Paid'
21000,'36 months',0.089,'2 years','MORTGAGE',140000,11.25,739,'Fully Paid'
17000,'36 months',0.0662,'2 years','MORTGAGE',48000,16.25,749,'Fully Paid'
18000,'60 months',0.1997,'5 years','MORTGAGE',40000,22.17,684,'Fully Paid'
7600,'36 months',0.1624,'10+ years','MORTGAGE',69000,22.35,664,'Fully Paid'
24000,'36 months',0.1285,'10+ years','MORTGAGE',96000,11.4,674,'Fully Paid'
8000,'36 months',0.1757,'5 years','RENT',78000,25.29,704,'Fully Paid'
24000,'60 months',0.1199,'10+ years','MORTGAGE',95000,23.79,724,'Fully Paid'
28000,'60 months',0.1624,'10+ years','MORTGAGE',99000,24.72,684,'Fully Paid'
15000,'36 months',0.1353,'4 years','RENT',60000,17.55,704,'Fully Paid'
15000,'36 months',0.079,'10+ years','RENT',66400,14.73,734,'Fully Paid'
5500,'36 months',0.1561,'8 years','OWN',43000,25.76,674,'Fully Paid'
16000,'36 months',0.1398,'10+ years','MORTGAGE',75000,25.39,664,'Fully Paid'
35000,'36 months',0.089,'4 years','MORTGAGE',215000,4.02,784,'Fully Paid'
12000,'60 months',0.1624,'2 years','MORTGAGE',108000,18.46,669,'Fully Paid'
10000,'36 months',0.1561,'10+ years','RENT',44000,15.32,714,'Fully Paid'
9000,'36 months',0.1099,'10+ years','MORTGAGE',52000,23.26,704,'Fully Paid'
15000,'60 months',0.1199,'10+ years','OWN',78000,9.14,744,'Fully Paid'
5000,'36 months',0.1398,'10+ years','OWN',110000,16.06,674,'Fully Paid'
7800,'36 months',0.1353,'4 years','MORTGAGE',70500,9.45,749,'Fully Paid'
3000,'36 months',0.1398,'10+ years','MORTGAGE',65000,26.46,674,'Fully Paid'
6625,'36 months',0.1285,'10+ years','OWN',31000,7.01,679,'Fully Paid'
28000,'60 months',0.1447,'2 years','MORTGAGE',110000,9.76,694,'Fully Paid'
12000,'36 months',0.1447,'5 years','MORTGAGE',120000,9.69,664,'Fully Paid'
6950,'36 months',0.1699,'< 1 year','RENT',51000,13.67,664,'Fully Paid'
24000,'36 months',0.0603,'2 years','MORTGAGE',95000,28.05,719,'Fully Paid'
20000,'60 months',0.1922,'7 years','MORTGAGE',101840,15.64,724,'Fully Paid'
5800,'36 months',0.1285,'10+ years','RENT',44500,21.6,689,'Fully Paid'
7000,'36 months',0.1447,'10+ years','RENT',25000,15.31,749,'Fully Paid'
24000,'36 months',0.1199,'10+ years','MORTGAGE',100000,28.37,694,'Fully Paid'
15000,'36 months',0.1561,'6 years','RENT',85000,11.99,664,'Fully Paid'
15000,'36 months',0.0603,'< 1 year','MORTGAGE',110000,12.96,784,'Fully Paid'
19200,'60 months',0.1561,'5 years','MORTGAGE',98000,11.84,699,'Fully Paid'
10750,'36 months',0.205,'6 years','OWN',31000,22.85,669,'Fully Paid'
3600,'36 months',0.1699,'10+ years','RENT',182000,6.59,699,'Fully Paid'
11000,'60 months',0.1398,'10+ years','RENT',36000,23.77,714,'Fully Paid'
12000,'36 months',0.0967,'8 years','MORTGAGE',70838,18.96,739,'Fully Paid'
8500,'36 months',0.1699,'< 1 year','RENT',34000,16.24,689,'Fully Paid'
12000,'60 months',0.1825,'9 years','MORTGAGE',50000,5.81,679,'Fully Paid'
28000,'36 months',0.0662,'5 years','MORTGAGE',350000,10.13,749,'Fully Paid'
1500,'36 months',0.1997,'< 1 year','RENT',30000,5.72,704,'Fully Paid'
15000,'36 months',0.1498,'n/a','RENT',60000,16.94,694,'Fully Paid'
35000,'60 months',0.2148,'10+ years','MORTGAGE',105000,8.46,709,'Fully Paid'
6000,'36 months',0.1398,'< 1 year','RENT',67000,16.62,684,'Fully Paid'
8000,'36 months',0.1447,'8 years','MORTGAGE',86517.46,9.85,694,'Fully Paid'
10000,'60 months',0.1561,'10+ years','MORTGAGE',60000,15.72,689,'Fully Paid'
4100,'36 months',0.2499,'10+ years','MORTGAGE',105000,15.18,674,'Fully Paid'
5375,'60 months',0.234,'2 years','MORTGAGE',28500,28.63,694,'Fully Paid'
19000,'36 months',0.0662,'5 years','MORTGAGE',96000,12.29,754,'Fully Paid'
9800,'36 months',0.1285,'< 1 year','MORTGAGE',78000,12.89,669,'Fully Paid'
27000,'36 months',0.1561,'7 years','RENT',61000,14.46,684,'Fully Paid'
6000,'60 months',0.1561,'5 years','RENT',38000,12.14,714,'Fully Paid'
13000,'36 months',0.0762,'10+ years','MORTGAGE',77000,16.52,709,'Fully Paid'
23000,'36 months',0.1353,'9 years','MORTGAGE',96271,25.78,684,'Fully Paid'
10000,'36 months',0.1353,'6 years','RENT',61000,17.8,689,'Fully Paid'
15000,'36 months',0.1447,'2 years','MORTGAGE',190000,3.51,684,'Fully Paid'
3600,'36 months',0.0762,'6 years','MORTGAGE',100000,16.78,719,'Fully Paid'
35000,'36 months',0.1561,'10+ years','MORTGAGE',110000,11.88,689,'Fully Paid'
26400,'36 months',0.1099,'10+ years','MORTGAGE',100000,18.02,744,'Fully Paid'
9000,'36 months',0.1498,'2 years','RENT',50000,18.41,664,'Fully Paid'
30000,'60 months',0.1447,'10+ years','MORTGAGE',145000,10.64,709,'Fully Paid'
14000,'60 months',0.1498,'8 years','MORTGAGE',100000,20.64,694,'Fully Paid'
35000,'36 months',0.1624,'8 years','MORTGAGE',360000,8.15,674,'Fully Paid'
28625,'36 months',0.1498,'< 1 year','MORTGAGE',198928.93,6.38,674,'Fully Paid'
16000,'36 months',0.1285,'2 years','MORTGAGE',102000,16.46,694,'Fully Paid'
13200,'60 months',0.1353,'10+ years','MORTGAGE',60000,9.5,719,'Fully Paid'
5000,'36 months',0.2408,'1 year','MORTGAGE',108160,12.79,699,'Fully Paid'
2200,'36 months',0.1398,'9 years','RENT',60998,9.42,724,'Fully Paid'
21200,'60 months',0.229,'< 1 year','RENT',200000,15.5,679,'Fully Paid'
8000,'36 months',0.1099,'7 years','MORTGAGE',56000,26.58,674,'Fully Paid'
17000,'36 months',0.0762,'9 years','MORTGAGE',65000,31.22,729,'Fully Paid'
12000,'36 months',0.1353,'1 year','MORTGAGE',70000,10.95,664,'Fully Paid'
27000,'60 months',0.1498,'8 years','MORTGAGE',170000,18.22,724,'Fully Paid'
12500,'36 months',0.089,'1 year','MORTGAGE',47500,19.36,769,'Fully Paid'
6000,'36 months',0.089,'1 year','OWN',85000,5.93,689,'Fully Paid'
10000,'60 months',0.2148,'3 years','MORTGAGE',51000,30.33,704,'Fully Paid'
15000,'60 months',0.1498,'6 years','RENT',48000,20.63,704,'Fully Paid'
8500,'36 months',0.089,'10+ years','RENT',115104,7.53,679,'Fully Paid'
35000,'36 months',0.1199,'8 years','MORTGAGE',160000,23.98,729,'Fully Paid'
15000,'36 months',0.1447,'3 years','RENT',55000,17.63,699,'Fully Paid'
8325,'36 months',0.1561,'10+ years','RENT',160000,9.11,674,'Fully Paid'
21000,'36 months',0.0762,'1 year','MORTGAGE',107000,17.83,734,'Fully Paid'
12000,'36 months',0.089,'10+ years','MORTGAGE',90000,13.01,719,'Fully Paid'
15000,'36 months',0.1199,'8 years','MORTGAGE',150000,15.58,674,'Fully Paid'
10000,'36 months',0.1447,'8 years','RENT',36500,16.94,674,'Fully Paid'
5000,'36 months',0.1447,'6 years','RENT',38000,10.39,664,'Fully Paid'
8000,'36 months',0.1922,'< 1 year','MORTGAGE',148000,8.47,669,'Fully Paid'
8000,'36 months',0.0603,'10+ years','MORTGAGE',100000,10.94,794,'Fully Paid'
24000,'36 months',0.1498,'5 years','RENT',77400,6.47,664,'Fully Paid'
6075,'36 months',0.1561,'10+ years','MORTGAGE',70000,16.32,699,'Fully Paid'
3200,'36 months',0.1699,'10+ years','RENT',55000,15.51,674,'Fully Paid'
5600,'36 months',0.1699,'3 years','MORTGAGE',55000,31.73,699,'Fully Paid'
8000,'36 months',0.1199,'< 1 year','RENT',25000,27.32,694,'Fully Paid'
12000,'36 months',0.1099,'10+ years','RENT',60000,9.48,674,'Fully Paid'
7500,'36 months',0.1099,'10+ years','RENT',69000,23.39,709,'Fully Paid'
3000,'60 months',0.2148,'10+ years','OWN',65000,27.03,689,'Fully Paid'
2500,'60 months',0.1498,'6 years','RENT',43000,12.53,704,'Fully Paid'
26800,'60 months',0.1922,'10+ years','RENT',60000,15.64,679,'Fully Paid'
4575,'36 months',0.1447,'10+ years','MORTGAGE',39000,26.34,724,'Fully Paid'
11500,'36 months',0.089,'10+ years','MORTGAGE',80000,9.8,694,'Fully Paid'
12800,'60 months',0.229,'10+ years','RENT',40000,18.03,679,'Fully Paid'
35000,'36 months',0.1353,'3 years','OWN',140000,27.88,709,'Fully Paid'
15000,'60 months',0.1699,'10+ years','RENT',62000,22.32,679,'Fully Paid'
12500,'36 months',0.0967,'10+ years','OWN',52000,8.4,674,'Fully Paid'
9750,'36 months',0.1447,'7 years','OWN',30000,30.96,709,'Fully Paid'
20000,'60 months',0.2148,'7 years','MORTGAGE',110000,8.49,699,'Fully Paid'
3000,'36 months',0.1398,'1 year','RENT',34000,17.23,699,'Fully Paid'
20000,'36 months',0.079,'10+ years','MORTGAGE',54800,23.1,714,'Fully Paid'
7550,'36 months',0.1624,'10+ years','RENT',45000,29.84,679,'Fully Paid'
8875,'36 months',0.245,'< 1 year','RENT',30000,11.76,674,'Fully Paid'
15000,'60 months',0.1699,'3 years','MORTGAGE',58000,18.23,714,'Fully Paid'
13000,'36 months',0.1447,'3 years','MORTGAGE',74900,25.84,679,'Fully Paid'
8000,'36 months',0.079,'3 years','RENT',70000,13.75,779,'Fully Paid'
10000,'60 months',0.1922,'10+ years','OWN',88000,7.38,669,'Fully Paid'
9750,'36 months',0.1099,'1 year','MORTGAGE',29800,16.07,669,'Fully Paid'
6000,'36 months',0.1285,'2 years','RENT',55000,25.77,674,'Fully Paid'
10500,'36 months',0.1099,'2 years','MORTGAGE',148000,13.47,669,'Fully Paid'
6250,'36 months',0.1099,'5 years','RENT',32000,11.44,694,'Fully Paid'
7000,'36 months',0.0603,'5 years','RENT',54000,7.64,794,'Fully Paid'
26600,'36 months',0.1199,'10+ years','MORTGAGE',85000,22.01,729,'Fully Paid'
20000,'60 months',0.1447,'9 years','MORTGAGE',50000,27.44,704,'Fully Paid'
18000,'36 months',0.205,'1 year','MORTGAGE',100000,20.64,674,'Fully Paid'
1800,'36 months',0.1199,'n/a','MORTGAGE',72600,21.95,724,'Fully Paid'
8225,'36 months',0.1447,'3 years','RENT',29120,24.9,669,'Fully Paid'
6000,'36 months',0.1447,'10+ years','MORTGAGE',85000,24.86,694,'Fully Paid'
8400,'36 months',0.1498,'9 years','MORTGAGE',66749,21.85,674,'Fully Paid'
11500,'36 months',0.1199,'2 years','RENT',60000,27.48,704,'Fully Paid'
20000,'36 months',0.079,'10+ years','MORTGAGE',98000,26.82,709,'Fully Paid'
4500,'36 months',0.1825,'1 year','RENT',38200,19.23,664,'Fully Paid'
16750,'36 months',0.1398,'10+ years','MORTGAGE',90000,26.96,674,'Fully Paid'
12000,'36 months',0.1757,'10+ years','MORTGAGE',73000,26.24,709,'Fully Paid'
18000,'60 months',0.1699,'10+ years','OWN',55427.09,13.71,674,'Fully Paid'
17000,'36 months',0.0967,'6 years','RENT',43000,23.16,699,'Fully Paid'
6000,'36 months',0.079,'5 years','RENT',47000,8.04,699,'Fully Paid'
35000,'36 months',0.1757,'1 year','MORTGAGE',127356,21.43,724,'Fully Paid'
32000,'36 months',0.1099,'9 years','MORTGAGE',135000,8.74,714,'Fully Paid'
9600,'36 months',0.1285,'< 1 year','RENT',85000,17.22,664,'Fully Paid'
6500,'36 months',0.0967,'2 years','MORTGAGE',53000,22.83,749,'Fully Paid'
35000,'60 months',0.1757,'10+ years','MORTGAGE',91380,15.27,684,'Fully Paid'
10000,'36 months',0.1498,'10+ years','RENT',72911,18.8,669,'Fully Paid'
25000,'36 months',0.079,'2 years','RENT',80000,8.2,724,'Fully Paid'
28000,'36 months',0.079,'4 years','MORTGAGE',109000,17.58,754,'Fully Paid'
19200,'60 months',0.1498,'10+ years','MORTGAGE',120000,20.07,709,'Fully Paid'
10000,'36 months',0.1398,'10+ years','RENT',40000,11.55,679,'Fully Paid'
35000,'60 months',0.1398,'10+ years','OWN',128000,17.99,754,'Fully Paid'
12000,'60 months',0.1353,'3 years','RENT',59589,18.03,689,'Fully Paid'
12700,'36 months',0.1498,'10+ years','RENT',55000,23.96,679,'Fully Paid'
17000,'36 months',0.1099,'4 years','MORTGAGE',120000,11.84,679,'Fully Paid'
6250,'36 months',0.1561,'7 years','RENT',30000,13.04,689,'Fully Paid'
8000,'36 months',0.1699,'1 year','MORTGAGE',102000,17.45,669,'Fully Paid'
8400,'36 months',0.1498,'5 years','MORTGAGE',47000,34.27,699,'Fully Paid'
35000,'36 months',0.0967,'3 years','MORTGAGE',95270,22.69,734,'Fully Paid'
21000,'36 months',0.0762,'8 years','RENT',140000,10.86,764,'Fully Paid'
30000,'36 months',0.0967,'8 years','MORTGAGE',200000,7.27,744,'Fully Paid'
8000,'36 months',0.1099,'4 years','RENT',55000,8.49,699,'Fully Paid'
20000,'60 months',0.1199,'10+ years','MORTGAGE',90000,24.88,734,'Fully Paid'
13250,'60 months',0.1498,'3 years','MORTGAGE',44853,18.12,704,'Fully Paid'
32200,'60 months',0.1561,'9 years','MORTGAGE',125000,17.99,719,'Fully Paid'
8875,'36 months',0.1757,'4 years','RENT',30000,20.52,679,'Fully Paid'
18500,'36 months',0.089,'5 years','MORTGAGE',45000,32.99,724,'Fully Paid'
14000,'36 months',0.0603,'10+ years','MORTGAGE',80000,16.76,779,'Fully Paid'
3975,'36 months',0.1699,'6 years','RENT',29000,16.85,689,'Fully Paid'
10975,'60 months',0.229,'< 1 year','RENT',120000,4.33,689,'Fully Paid'
16000,'36 months',0.0662,'9 years','MORTGAGE',102000,11.62,744,'Fully Paid'
12400,'36 months',0.1447,'9 years','MORTGAGE',45360,16.14,689,'Fully Paid'
3000,'36 months',0.1997,'6 years','MORTGAGE',80000,3.12,679,'Fully Paid'
15000,'36 months',0.0762,'6 years','MORTGAGE',140000,12.47,739,'Fully Paid'
10000,'36 months',0.1398,'3 years','MORTGAGE',64000,13.71,684,'Fully Paid'
5000,'36 months',0.1699,'10+ years','MORTGAGE',54000,18.82,689,'Fully Paid'
6000,'36 months',0.1398,'8 years','RENT',38638,21.12,664,'Fully Paid'
10000,'36 months',0.1757,'4 years','RENT',65000,18.54,679,'Fully Paid'
16000,'36 months',0.1285,'9 years','OWN',50000,21.02,664,'Fully Paid'
12000,'36 months',0.1498,'n/a','MORTGAGE',76800,19.48,699,'Fully Paid'
28000,'36 months',0.079,'7 years','MORTGAGE',102000,7.52,764,'Fully Paid'
6075,'36 months',0.1624,'3 years','RENT',29770,16.77,664,'Fully Paid'
20400,'60 months',0.1997,'10+ years','MORTGAGE',147400,16.68,679,'Fully Paid'
6000,'36 months',0.1398,'10+ years','OWN',45000,31.05,719,'Fully Paid'
16250,'36 months',0.1757,'8 years','RENT',70000,8.74,674,'Fully Paid'
4650,'36 months',0.1447,'4 years','RENT',28000,20.57,664,'Fully Paid'
10000,'36 months',0.089,'2 years','MORTGAGE',102000,17.32,719,'Fully Paid'
7000,'36 months',0.1353,'2 years','RENT',40000,4.82,764,'Fully Paid'
19200,'36 months',0.089,'1 year','RENT',88000,7.31,709,'Fully Paid'
12600,'36 months',0.1398,'< 1 year','RENT',65550,29.17,664,'Fully Paid'
1200,'36 months',0.089,'10+ years','MORTGAGE',90000,16.17,719,'Fully Paid'
28000,'36 months',0.0762,'10+ years','MORTGAGE',108000,20.64,789,'Fully Paid'
24000,'36 months',0.089,'2 years','RENT',115000,11.35,709,'Fully Paid'
9000,'36 months',0.1285,'8 years','OWN',42000,15.8,674,'Fully Paid'
10050,'36 months',0.1498,'3 years','MORTGAGE',50000,31.01,669,'Fully Paid'
21600,'36 months',0.079,'< 1 year','MORTGAGE',56634,19.56,704,'Fully Paid'
20000,'36 months',0.224,'6 years','MORTGAGE',58000,23.69,674,'Fully Paid'
15000,'60 months',0.1997,'n/a','MORTGAGE',36000,23.67,714,'Fully Paid'
18000,'60 months',0.2557,'5 years','MORTGAGE',95000,16.33,664,'Fully Paid'
10000,'36 months',0.1561,'5 years','MORTGAGE',127000,16.96,669,'Fully Paid'
7875,'36 months',0.245,'10+ years','MORTGAGE',43820,3.34,709,'Fully Paid'
22000,'36 months',0.1699,'10+ years','MORTGAGE',50000,20.48,669,'Fully Paid'
26500,'60 months',0.2408,'7 years','MORTGAGE',60000,33.7,679,'Fully Paid'
10000,'36 months',0.1447,'10+ years','MORTGAGE',70323,7.1,669,'Fully Paid'
15000,'36 months',0.0967,'2 years','RENT',60000,28.34,759,'Fully Paid'
16000,'36 months',0.0967,'10+ years','RENT',60000,12.58,674,'Fully Paid'
28000,'36 months',0.1447,'10+ years','MORTGAGE',70251.31,24.48,679,'Fully Paid'
30000,'36 months',0.1624,'10+ years','OWN',85000,19.17,679,'Fully Paid'
10000,'36 months',0.1353,'7 years','MORTGAGE',52000,4.22,684,'Fully Paid'
12000,'36 months',0.1285,'7 years','RENT',96000,7.11,679,'Fully Paid'
10625,'36 months',0.1922,'1 year','RENT',36000,27.57,709,'Fully Paid'
24000,'36 months',0.079,'4 years','MORTGAGE',72000,14.28,719,'Fully Paid'
6000,'36 months',0.1285,'1 year','OWN',42000,20.2,684,'Fully Paid'
3500,'36 months',0.1447,'10+ years','MORTGAGE',46000,12.42,669,'Fully Paid'
12325,'60 months',0.1561,'10+ years','OWN',68000,17.14,689,'Fully Paid'
12000,'60 months',0.1699,'10+ years','MORTGAGE',60000,30.58,684,'Fully Paid'
5000,'36 months',0.1498,'10+ years','MORTGAGE',70000,19.36,714,'Fully Paid'
10000,'36 months',0.1353,'< 1 year','OWN',40000,10.74,664,'Fully Paid'
20000,'36 months',0.1398,'2 years','RENT',215000,13.56,664,'Fully Paid'
8500,'36 months',0.1285,'7 years','MORTGAGE',62000,21.27,709,'Fully Paid'
10150,'36 months',0.1353,'10+ years','RENT',35500,22.85,694,'Fully Paid'
10000,'36 months',0.1285,'10+ years','MORTGAGE',170000,18.27,699,'Fully Paid'
11250,'60 months',0.1757,'< 1 year','RENT',42500,13.78,674,'Fully Paid'
13250,'60 months',0.237,'10+ years','MORTGAGE',57000,12.76,664,'Fully Paid'
20000,'36 months',0.079,'1 year','MORTGAGE',75000,9.33,704,'Fully Paid'
13000,'36 months',0.1199,'10+ years','MORTGAGE',63000,13.58,684,'Fully Paid'
35000,'36 months',0.1353,'< 1 year','MORTGAGE',148000,20.31,689,'Fully Paid'
17550,'60 months',0.1447,'6 years','RENT',40000,29.49,749,'Fully Paid'
7000,'36 months',0.089,'8 years','RENT',45000,6.48,699,'Fully Paid'
12000,'36 months',0.079,'10+ years','MORTGAGE',75000,15.2,729,'Fully Paid'
4800,'36 months',0.1447,'8 years','RENT',27135,34.1,719,'Fully Paid'
15250,'36 months',0.1757,'2 years','RENT',60000,19.8,669,'Fully Paid'
4000,'36 months',0.237,'3 years','RENT',17000,8.55,664,'Fully Paid'
15000,'36 months',0.079,'10+ years','RENT',48000,18.13,694,'Fully Paid'
22000,'36 months',0.089,'4 years','RENT',85921,19.63,704,'Fully Paid'
11500,'36 months',0.1398,'7 years','MORTGAGE',50000,20.84,679,'Fully Paid'
1950,'36 months',0.234,'< 1 year','RENT',22500,17.97,669,'Fully Paid'
4000,'36 months',0.0967,'10+ years','MORTGAGE',110000,17.58,724,'Fully Paid'
8000,'36 months',0.224,'5 years','RENT',36000,25.93,679,'Fully Paid'
12250,'36 months',0.089,'3 years','MORTGAGE',35000,29.64,719,'Fully Paid'
16800,'36 months',0.0967,'5 years','RENT',42000,20.71,704,'Fully Paid'
3775,'36 months',0.1624,'5 years','RENT',43000,18.62,694,'Fully Paid'
12000,'36 months',0.089,'4 years','RENT',63000,25.38,669,'Fully Paid'
35000,'36 months',0.2583,'10+ years','OWN',85468,5.78,699,'Fully Paid'
15000,'36 months',0.1099,'10+ years','RENT',74000,16.62,709,'Fully Paid'
28000,'60 months',0.1624,'4 years','MORTGAGE',130000,17.47,709,'Fully Paid'
5000,'36 months',0.234,'10+ years','MORTGAGE',55300,19.01,679,'Fully Paid'
18000,'36 months',0.1825,'10+ years','MORTGAGE',67000,19.81,689,'Fully Paid'
5500,'36 months',0.1561,'1 year','MORTGAGE',25000,8.52,679,'Fully Paid'
10800,'36 months',0.1922,'3 years','RENT',37440,16.83,664,'Fully Paid'
14000,'36 months',0.0762,'10+ years','MORTGAGE',80000,7.19,684,'Fully Paid'
15000,'36 months',0.1285,'3 years','MORTGAGE',39000,11.57,679,'Fully Paid'
17625,'36 months',0.1398,'10+ years','RENT',40000,24.24,684,'Fully Paid'
22400,'36 months',0.079,'4 years','MORTGAGE',100000,19.49,749,'Fully Paid'
13000,'36 months',0.1825,'10+ years','RENT',72000,15.17,664,'Fully Paid'
5000,'36 months',0.1922,'10+ years','MORTGAGE',55000,14.11,684,'Fully Paid'
16000,'36 months',0.1099,'2 years','OWN',65000,24.17,694,'Fully Paid'
6000,'36 months',0.1199,'6 years','OWN',36478,9.15,679,'Fully Paid'
6000,'36 months',0.089,'10+ years','RENT',40000,19.38,709,'Fully Paid'
5825,'36 months',0.0967,'2 years','MORTGAGE',65000,15.51,749,'Fully Paid'
20375,'36 months',0.1199,'< 1 year','MORTGAGE',76000,19.31,699,'Fully Paid'
16000,'36 months',0.1447,'10+ years','MORTGAGE',162000,18.31,674,'Fully Paid'
14700,'36 months',0.1561,'1 year','MORTGAGE',102000,13.38,684,'Fully Paid'
30000,'36 months',0.0967,'10+ years','OWN',70068,19.1,729,'Fully Paid'
13225,'60 months',0.1757,'10+ years','MORTGAGE',75000,1.55,684,'Fully Paid'
1400,'36 months',0.224,'n/a','RENT',6000,8.2,709,'Fully Paid'
21000,'36 months',0.1447,'3 years','RENT',120000,3.45,719,'Fully Paid'
20000,'60 months',0.1561,'10+ years','MORTGAGE',45000,15.52,704,'Fully Paid'
35000,'36 months',0.1498,'10+ years','MORTGAGE',97008,28.58,669,'Fully Paid'
9000,'36 months',0.1285,'10+ years','MORTGAGE',48019,23.44,699,'Fully Paid'
6000,'36 months',0.1199,'< 1 year','MORTGAGE',33000,3.49,739,'Fully Paid'
20000,'36 months',0.1285,'n/a','MORTGAGE',114000,12.85,694,'Fully Paid'
20000,'36 months',0.079,'10+ years','MORTGAGE',116500,10.4,674,'Fully Paid'
6000,'36 months',0.1199,'10+ years','RENT',55000,27.93,664,'Fully Paid'
25000,'60 months',0.1199,'7 years','MORTGAGE',100000,30.09,744,'Fully Paid'
15000,'36 months',0.0967,'10+ years','MORTGAGE',80000,18.15,714,'Fully Paid'
14075,'60 months',0.1825,'9 years','MORTGAGE',111000,7.66,679,'Fully Paid'
35000,'36 months',0.1498,'n/a','OWN',88274,10.55,719,'Fully Paid'
6000,'36 months',0.0762,'< 1 year','RENT',60000,6.74,789,'Fully Paid'
18225,'36 months',0.1922,'8 years','OWN',40560,25,689,'Fully Paid'
31300,'36 months',0.1285,'7 years','MORTGAGE',69600,12.67,709,'Fully Paid'
15000,'36 months',0.0967,'10+ years','MORTGAGE',113550,9.81,664,'Fully Paid'
11000,'36 months',0.1624,'10+ years','MORTGAGE',141441,15.92,674,'Fully Paid'
4200,'36 months',0.1353,'10+ years','OWN',37500,33.95,664,'Fully Paid'
15000,'36 months',0.089,'3 years','RENT',87100,20.15,709,'Fully Paid'
12000,'36 months',0.1199,'6 years','RENT',70000,10.53,714,'Fully Paid'
12000,'60 months',0.1699,'3 years','RENT',40000,25.44,669,'Fully Paid'
10000,'36 months',0.089,'2 years','OWN',52000,26.82,679,'Fully Paid'
15000,'36 months',0.079,'2 years','OWN',85000,19.67,699,'Fully Paid'
8000,'36 months',0.079,'< 1 year','MORTGAGE',85000,14.19,709,'Fully Paid'
9750,'36 months',0.1353,'4 years','RENT',35310,27.5,674,'Fully Paid'
28000,'36 months',0.079,'1 year','MORTGAGE',172000,16.09,719,'Fully Paid'
13750,'60 months',0.1997,'3 years','RENT',51000,24.31,689,'Fully Paid'
10000,'36 months',0.089,'6 years','OWN',35000,11.32,850,'Fully Paid'
10000,'36 months',0.0967,'10+ years','MORTGAGE',55500,11.16,709,'Fully Paid'
30000,'60 months',0.1997,'10+ years','OWN',120000,14.24,709,'Fully Paid'
9950,'36 months',0.1447,'3 years','RENT',30000,21.2,669,'Fully Paid'
9600,'36 months',0.1699,'n/a','MORTGAGE',76000,13.72,674,'Fully Paid'
11700,'36 months',0.1498,'10+ years','RENT',53000,25.36,664,'Fully Paid'
20000,'36 months',0.0762,'5 years','RENT',133000,13.06,704,'Fully Paid'
12000,'36 months',0.089,'10+ years','MORTGAGE',52000,21.76,699,'Fully Paid'
10000,'36 months',0.0967,'< 1 year','RENT',51000,15.6,694,'Fully Paid'
16000,'36 months',0.1561,'5 years','MORTGAGE',65000,16.71,684,'Fully Paid'
24000,'36 months',0.079,'2 years','MORTGAGE',115000,6.62,734,'Fully Paid'
35000,'36 months',0.1398,'10+ years','MORTGAGE',100000,22.44,744,'Fully Paid'
20000,'36 months',0.1353,'10+ years','MORTGAGE',335000,14.85,724,'Fully Paid'
16000,'36 months',0.1353,'< 1 year','OWN',42000,23,699,'Fully Paid'
25000,'60 months',0.1997,'4 years','RENT',85000,11.29,674,'Fully Paid'
